DEBUG-GREG0(n0c0b0m0p2,34):(f:0, i:{{0x0,0x0},{0x0,0xA}}, v:0xA) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m0p3,34):(f:0, i:{{0x0,0x0},{0x0,0xB}}, v:0xB) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m1p0,34):(f:0, i:{{0x0,0x0},{0x0,0xC}}, v:0xC) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m1p1,34):(f:0, i:{{0x0,0x0},{0x0,0xD}}, v:0xD) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m1p2,34):(f:0, i:{{0x0,0x0},{0x0,0xE}}, v:0xE) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m1p3,34):(f:0, i:{{0x0,0x0},{0x0,0xF}}, v:0xF) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m2p0,34):(f:0, i:{{0x0,0x0},{0x0,0x10}}, v:0x10) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m2p1,34):(f:0, i:{{0x0,0x0},{0x0,0x11}}, v:0x11) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m2p2,34):(f:0, i:{{0x0,0x0},{0x0,0x12}}, v:0x12) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m2p3,34):(f:0, i:{{0x0,0x0},{0x0,0x13}}, v:0x13) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m3p0,34):(f:0, i:{{0x0,0x0},{0x0,0x14}}, v:0x14) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m3p1,34):(f:0, i:{{0x0,0x0},{0x0,0x15}}, v:0x15) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m3p2,34):(f:0, i:{{0x0,0x0},{0x0,0x16}}, v:0x16) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m3p3,34):(f:0, i:{{0x0,0x0},{0x0,0x17}}, v:0x17) #d get $lr34n0c0b0 1
DEBUG-GREG0(n0c0b0m4p0,34):(f:0, i:{{0x0,0x0},{0x0,0x18}}, v:0x18) #d get $lr34n0c0b0 1
